gen_index,host_bus,type,capacity_mw,capacity_pu,inertia_s,xdp,deadband_hz,delay_s,transformer_x_used,M_used,D_used,K_used,Tau_used_s,Gamma_used
0,1,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,120.06,0.75,0.2
1,4,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,120.06,0.75,0.2
2,6,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
3,8,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.04875,179.2896,0.12006,50.4252,1.5,0.2
4,10,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.051250000000000004,134.46720000000002,0.12006,50.4252,1.5,0.2
5,12,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.051250000000000004,134.46720000000002,0.12006,50.4252,1.5,0.2
6,15,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
7,18,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
8,19,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,120.06,0.75,0.2
9,24,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,120.06,0.75,0.2
10,25,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
11,26,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
12,27,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
13,31,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,138.069,0.675,0.2
14,32,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,138.069,0.675,0.2
15,34,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,138.069,0.675,0.2
16,36,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,138.069,0.675,0.2
17,40,TB10,1050.0,10.5,10.0,0.024,0.033,0.5,0.024,220.5,0.21,217.35,0.675,0.2
18,42,TB10,1050.0,10.5,10.0,0.024,0.033,0.5,0.024,220.5,0.21,217.35,0.675,0.2
19,46,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.03895,71.4357,0.1334,168.084,0.5625,0.2
20,49,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.02952,20.17008,0.14674,360.18,0.30000000000000004,0.2
21,54,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.03485,235.3176,0.16007999999999997,228.114,0.5249999999999999,0.2
22,55,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.03485,235.3176,0.16007999999999997,228.114,0.5249999999999999,0.2
23,56,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.03485,235.3176,0.16007999999999997,228.114,0.5249999999999999,0.2
24,59,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
25,61,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
26,62,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,120.06,0.75,0.2
27,65,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
28,66,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
29,69,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
30,70,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,120.06,0.75,0.2
31,72,TC6,667.0,6.67,8.0,0.039,0.033,0.5,0.039,112.056,0.1334,120.06,0.75,0.2
32,73,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
33,74,TC10,1050.0,10.5,10.6,0.021,0.033,0.5,0.021,233.73000000000002,0.21,189.0,0.75,0.2
34,76,TB10,1050.0,10.5,10.0,0.024,0.033,0.5,0.024,220.5,0.21,189.0,0.75,0.2
35,77,TB10,1050.0,10.5,10.0,0.024,0.033,0.5,0.024,220.5,0.21,189.0,0.75,0.2
36,80,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
37,85,TB10,1050.0,10.5,10.0,0.024,0.033,0.5,0.024,220.5,0.21,189.0,0.75,0.2
38,87,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
39,89,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
40,90,TC10,1050.0,10.5,10.6,0.021,0.033,0.5,0.021,233.73000000000002,0.21,189.0,0.75,0.2
41,91,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
42,92,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
43,99,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
44,100,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
45,103,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
46,104,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
47,105,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
48,107,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
49,110,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
50,111,TB6,667.0,6.67,6.0,0.041,0.033,0.5,0.041,84.042,0.1334,120.06,0.75,0.2
51,112,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
52,113,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
53,116,TG3,300.0,3.0,9.0,0.065,0.033,0.0,0.065,56.7,0.06,54.0,0.75,0.2
